POI_ID,ADD_ID,PLACENAME,PLACENAME2,ABBREVIATEDPLACENAME,BL_NAME,BL_CLASS,SERVICE_TYPE,PHOTOURL,URL,CONTACT,HOURS,LICENSE,MANAGE,STATUS,LEED,HTML,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,BCN_CODE,BCN_LANDUSE,BCN_NOEMP,BCN_CLASS,LAT,LONG
VPOI10068,VAD11148,UBC Conferences & Accommodation,Conferences Accommodation,,,service,commercial_services,http://www.infrastructuredevelopment.ubc.ca/rrs2/photos/872-2.jpg,http://www.ubcconferences.com/,Phone: (604) 822-1060; Email: conferences@housing.ubc.ca; Fax: (604) 822-1001,,N,,Current,Services,,,,TOML,20221219230813,{190A6995-0BAD-489B-B989-204BF8E14992},,,,,-123.248694,49.269358
VPOI10064,VAD11146,Humanities & Social Sciences Library,,,,,library,http://www.infrastructuredevelopment.ubc.ca/rrs2/photos/515-1.jpg,http://www.library.ubc.ca/koerner,Information Desk: (604) 822-2725; Email: hssd.library@ubc.ca,M-Th: 8 am - 8 pm; Fri: 8 am - 5 pm; Sat:10 am - 5 pm; Sun: Closed,N,,Current,Civic,,,,TOML,20221219234951,{AD7BB9F3-24EC-48EF-9C42-BC0DBAA624AD},,,,,-123.255131,49.266655
VPOI10065,VAD11146,Microforms & Journals ,,,,,library,http://www.infrastructuredevelopment.ubc.ca/rrs2/photos/515-1.jpg,http://www.library.ubc.ca/koerner,Information Desk: (604) 822-2725; Email: hssd.library@ubc.ca,M-Th: 8 am - 8 pm; Fri: 8 am - 5 pm; Sat:10 am - 5 pm; Sun: Closed,N,,Current,Civic,,,,TOML,20221219234951,{BA568A75-8108-45E7-AF33-981297BD70D0},,,,,-123.255131,49.266655
VPOI10227,VAD11146,Government Publications and Maps,,,,,library,,http://guides.library.ubc.ca/maps-atlases,Phone: (604) 822-0645,,N,,Current,Civic,,,,TOML,20221219234951,{E475C129-3A9B-48B6-B30C-9BC77A9D29AD},,,,,-123.255136,49.266665
VPOI10228,VAD11146,Data/GIS Lab,,,,,library,,http://guides.library.ubc.ca/gis/home,Phone: (604) 822-5587; Email: paul.lesack@ubc.ca,,N,,Current,Civic,,,,TOML,20221219234951,{3871CC03-B1AE-4D2D-B388-B9E8F848A382},,,,,-123.255108,49.266625
VPOI10027,VAD10023,Ike's Cafe,,,,cafe,cafe,,https://food.ubc.ca/places/ikes-cafe/,Phone: (604) 827-3926,"M,Th,F: 6:30 am - 4 pm; Tu-W: 6:30 am - 7:30 pm; Sat-Sun: 6:30am - 9:30am",N,,Current,Services,,,,TOML,20221219232649,{62B02A23-0702-4BCE-9BE7-5B4E46438375},,,,,-123.252686,49.267234
VPOI10290,VAD10357,X̱wi7x̱wa Library,,,,,library,http://www.infrastructuredevelopment.ubc.ca/rrs2/photos/337.jpg,http://xwi7xwa.library.ubc.ca/,Information Desk: (604) 822-8738,M-F: 9 am - 5 pm; Sat-Sun: Closed,N,,Current,Civic,,,,TOML,20221219234951,{20820226-A8AB-44B4-B692-0CFDEF16FE83},,,,,-123.256614,49.265482
VPOI10079,VAD10023,"Music, Art & Architecture LIbrary",,,,,library,http://www.infrastructuredevelopment.ubc.ca/rrs2/photos/516.jpg,http://barber.library.ubc.ca/,Phone: (604) 822-3943; Email: maa.library@ubc.ca; Fax: (604) 822-3779,M-Th: 9 am - 7 pm; Fri: 9 am - 5 pm; Sat: 10 am - 5 pm; Sun: Closed ,N,,Current,Civic,,,,TOML,20221219232649,{9F4C9446-C9E1-45BD-9FE2-56FC9E54AF5F},,,,,-123.252976,49.267876
VPOI10082,VAD10023,Rare Books and Special Collections,,,,,library,http://www.infrastructuredevelopment.ubc.ca/rrs2/photos/516.jpg,http://rbsc.library.ubc.ca/,Phone: (604) 822-2521,M-F: 10 am - 4 pm; Sat-Sun: Closed,N,,Current,Civic,,,,TOML,20221219232649,{1A440388-BE5D-4BD6-8717-36A955D5E92B},,,,,-123.252976,49.267876
VPOI10083,VAD10023,UBC Archives,,,,,library,http://www.infrastructuredevelopment.ubc.ca/rrs2/photos/516.jpg,http://archives.library.ubc.ca/,Phone: (604) 822-5877; Email: http://archives.library.ubc.ca/contact-us/; Fax: (604) 822-9587,M-F: 10 am - 4 pm; Sat: 12 pm - 5 pm (Oct-Apr),N,,Current,Civic,,,,TOML,20221219232649,{55A56026-523F-48F5-801D-E9104ECD9186},,,,,-123.252976,49.267876
VPOI10211,VAD10023,The Chung Collection Exhibition,,,,,attraction,,http://chung.library.ubc.ca/,Phone: (604) 822-2521; Email: chung.collection@ubc.ca,M-F: 10 am - 4 pm; Sat: 12 pm - 5 pm (Sept - Apr),N,,Current,Civic,,,,TOML,20221219232649,{29CFE08B-954B-49AE-BB36-9213615AA945},,,,,-123.25278,49.267556
VPOI10214,VAD10023,UBC Library,,,,,library,http://www.infrastructuredevelopment.ubc.ca/rrs2/photos/516.jpg,http://www.ikebarberlearningcentre.ubc.ca/,Information Desk: (604) 822-2725,"M,Th,Fri: 9 am - 5 pm; Tu-W: 9 am - 8 pm; Sat: 12 pm - 5 pm; Sun: Closed",N,,Current,Civic,,,,TOML,20221219232649,{2E674360-C124-4F3B-89B2-4F5C46D42714},,,,,-123.252705,49.267556
VPOI10175,VAD11106,Wellness Centre,,,,,campus_services,,https://students.ubc.ca/health-wellness/peer-support-wellness-centre,Phone: (604) 822-8450; Email: wellness.centre@ubc.ca,Tu-F: 11 am - 4 pm; Sat-M: Closed,N,,Current,Civic,,,,TOML,20221219232649,{4ADF73C9-642E-47D4-868D-068D273115C7},,,,,-123.252687,49.267618
VPOI10339,VAD10023,"Centre for Teaching, Learning and Technology (CTLT)",,,,,department,,http://ctlt.ubc.ca/,Phone: (604) 827-0360; Email: ctlt.info@ubc.ca; Events: ctlt.events@ubc.ca; Fax: (604) 822-9826,,N,,Current,Civic,,,,TOML,20221219232649,{FE577749-BC1E-4677-94A7-53D4FBCED56D},,,,,-123.252633,49.267543
VPOI10341,VAD10023,Chapman Learning Commons,,,,,campus_services,,http://learningcommons.ubc.ca/,Phone: (604) 827-3909; Email Learning Services Librarian: alex.kuskowski@ubc.ca,M-Th: 8 am - 10 pm; Fri: 8 am - 6 pm; Sat-Sun: 10 am - 6 pm,N,,Current,Civic,,,,TOML,20221219232649,{431DF689-1AB7-4459-BAF8-A73D1CA1D70C},,,,,-123.25293,49.267627
VPOI10441,VAD10023,UBC Digitization Centre,,,,,campus_services,,http://learningcommons.ubc.ca/,Phone: (604) 827-3909; Email Learning Services Librarian: alex.kuskowski@ubc.ca,M-Th: 8 am - 10 pm; Fri: 8 am - 6 pm; Sat-Sun: 10 am - 6 pm,N,,Current,Civic,,RACHELW,20210707212211,TOML,20221219232649,{815EA452-1EA1-4B0E-A1A0-24E801E72590},,,,,-123.25293,49.267627
VPOI10168,VAD10827,David Lam Management Research Library,,,,,library,http://www.infrastructuredevelopment.ubc.ca/rrs2/photos/490.jpg,http://lam.library.ubc.ca/,Information Desk: (604) 822-9400,M-F: 9 am - 5 pm; Sat-Sun: Closed,N,,Current,Civic,,,,TOML,20221219235401,{68466833-EF22-45F5-9364-1B85BF614879},,,,,-123.254611,49.265778
VPOI10267,VAD10377,UBC Press,University of British Columbia Press,,,,campus_services,,http://www.ubcpress.ca/index.html,Phone: (604) 822-5959; Email: frontdesk@ubcpress.ca; Fax: (604) 822-6083,M-F: 8 am - 9 pm; Sat-Sun: Closed,N,,Current,Civic,,,,TOML,20221219234951,{F5C84360-F903-4C8F-AE21-B31DED2C1AA0},,,,,-123.255966,49.264838
VPOI10340,VAD10377,Ceremonies and Events ,UBC Ceremonies & Events,,,,campus_services,,http://ceremonies.ubc.ca/,Phone: (604) 822-2484; Email: ceremonies.office@ubc.ca; Fax: (604) 822-9060,,N,,Current,Civic,,,,TOML,20221219234951,{288B7223-CA3D-410E-B19A-EB6908B396CB},,,,,-123.255945,49.264806
VPOI10319,VAD10604,Hubbards Global Market,,,,,minimart,,https://food.ubc.ca/places/hubbards-global-market/,Phone: (604) 822-5805,Daily: 4:30 pm - 11:30 pm,N,,Current,Food,,,,TOML,20221219234951,{EF9C6CE3-E7F6-48A1-B33E-A9438C8DECE7},,,,,-123.258818,49.264881
VPOI10315,VAD10364,Gather,,,,,restaurant,,http://www.food.ubc.ca/place/vaniers-dining-room/,Phone: (604) 822-2622,"M-F: 7 am - 2 pm, 3 pm - 9 pm; Sat-Sun: 8 am - 2 pm, 3 pm - 9 pm",N,,Current,Services,,,,TOML,20221219234951,{464B9670-2461-45B5-BED6-E868EB14833E},,,,,-123.258773,49.264669
VPOI10066,VAD10063,Owl Child Care,Owl,,,,child_care,,https://childcare.ubc.ca/,Phone: (604) 822-5343; Email: childcare@housing.ubc.ca; Fax: (604) 822-9195,,N,,Current,Civic,<p>Owl at the Barn Child Care Services Centre</p>,,,TOML,20230105222009,{A3B3F504-0D0C-4136-AA99-72F3DAB5A3B9},,,,,-123.251184,49.262006
VPOI10100,VAD10169,Harvest,,,,,minimart,,https://food.ubc.ca/places/harvest-market/,Phone: (604) 827-3007,Daily: 7 am - 10 pm,N,,Current,Food,,,,TOML,20221219235253,{B409A3D5-C316-4060-ACE5-F86EC20D04E1},,,,,-123.255742,49.263983
VPOI10043,,Pita Pit,,,,,cafe,,http://pitapit.ca/,Phone: (604) 221-7488; Email: info@pitapit.com; Fax: (604) 221-7487,M-Sat: 10:30 am - 12 am; Sun: 11am - 11 pm,N,,UEL,Services,,,,RACHELW,20221205225219,{8F03320C-B319-4B50-9D27-12288651806B},,,,,-123.242124,49.26609
VPOI10114,VAD10559,Triple O's,,,,restaurant,restaurant,,http://www.food.ubc.ca/place/triple-o/,Phone: (604) 822-3256,Daily: 10 am - 10 pm,N,,Current,Services,,,,TOML,20221219235401,{BE3ECA43-4EDE-4778-9352-29F8C6E57E94},,,,,-123.254398,49.265889
VPOI10116,VAD11030,Tim Hortons Lam,,,,cafe,cafe,,http://www.food.ubc.ca/place/tim-hortons/,Phone: (604) 822-3256,M-F: 7 am - 4 pm; Sat-Sun: Closed ,N,,Current,Services,,,,TOML,20221219235401,{07E72BB9-B6E5-4E0F-9C3F-370BA5207856},,,,,-123.254258,49.265861
VPOI10151,VAD11030,TBD,,,,,cafe,,,,,N,,Pending,,,,,TOML,20221219235401,{02DA7E22-B492-4785-96BB-04C23EF2144F},,,,,-123.254258,49.265861
VPOI10012,,Pearl Fever Tea House ,,,,,cafe,,http://www.pearlfever.ca/,Phone: (604) 221-9882,,N,,UEL,Services,,,,RACHELW,20221205225219,{82405A7A-0F07-4F8C-B8A6-CCAA0F9C2796},,,,,-123.243176,49.26587
VPOI10024,,Starbucks University Village,,,,,cafe,,,Phone: (604) 221-0200,M-F: 6 am - 10:30 pm; Sat-Sun: 7 am - 10 pm,N,,UEL,Services,,,,RACHELW,20221205225219,{F2A4C522-5B97-4C4F-BE74-C8B16750B0CF},,,,,-123.242749,49.26585
VPOI10236,VAD11030,Bento Sushi,,,,,cafe,,https://food.ubc.ca/places/bento-sushi/,Phone: (604) 822-3256,M-F: 11 am - 8 pm; Sat-Sun: Closed,N,,Current,Services,,,,TOML,20221219235401,{1484FE75-8896-407E-93D8-91091644F682},,,,,-123.254258,49.265861
VPOI10220,,Pizza Garden,,,,,cafe,,http://www.pizzagarden.ca/,,,N,,UEL,Services,,,,RACHELW,20221205225219,{A280DB19-D7B2-41A8-8144-912C30EDDE08},,,,,-123.243497,49.266465
VPOI10269,VAD11030,Robert H. Lee Graduate School ,,,,,department,,http://www.sauder.ubc.ca/About/Place/Robert_H_Lee_Graduate_School,Phone: (604) 822-8500; Fax: (604) 822-8468,,N,,Current,Civic,,,,TOML,20221219235401,{5E32DEDB-E9FA-46F9-A358-8968F25EE9D6},,,,,-123.254147,49.265619
VPOI10334,VAD10103,Open Kitchen,Open,,,,restaurant,http://www.food.ubc.ca/wp-content/uploads/2016/07/Open-Kitchen-UBC.zip,https://food.ubc.ca/places/open-kitchen/,Phone: (604) 827-4450,"M-F: 7 am - 2 pm, 3 pm - 9 pm; Sat-Sun: 8 am - 2 pm, 3 pm - 9 pm",,,Current,Services,,,,TOML,20230105222122,{1DC3480F-568F-43D2-8F28-B50443DC62B8},,,,,-123.251385,49.260585
VPOI10115,VAD10014,Sauder Exchange Cafe,,,,cafe,cafe,,,Phone: (604) 827-4783,,N,,Retired,,,,,TOML,20221219235401,{AB3D4ADC-C55E-4DEC-A40C-884DC23D2CEF},,,,,-123.253728,49.265218
VPOI10335,VAD10103,Hero Coffee + Market,Hero,,,,cafe,,https://food.ubc.ca/places/hero-coffee-market/,Phone: (604) 827-2031,M-F: 8 am - 11 pm; Sat- Sun: 10 am - 11 pm,,,Current,Services,,,,TOML,20230105222122,{D70ACA9A-4F10-4DBF-BCBD-F8841095FBF4},,,,,-123.25127,49.260623
VPOI10439,VAD10012,Hebb 100,Hebb 100,,,service,campus_services,,https://learningspaces.ubc.ca/classrooms/hebb-100,,,,,Current,Civic,,RACHELW,20210622051622,TOML,20221219235401,{BAC42973-742F-4909-95CB-6681C3744102},,,,,-123.25131,49.266305
VPOI10266,VAD10103,Hummingbird Child Care,Hummingbird ,,,,child_care,,https://childcare.ubc.ca/,Phone: (604) 822-5343; Email: childcare@housing.ubc.ca; Fax: (604) 822-9195,,N,,Current,Civic,,,,TOML,20230105222154,{8518C0BD-93B5-4795-A2A8-19B3163A5FDF},,,,,-123.250562,49.260204
VPOI10032,VAD10230,Agora Cafe,,,,,cafe,,http://blogs.ubc.ca/agora/,Phone: (604) 822-4651; Email: agora.eats@gmail.com,,N,,Retired,,,,,TOML,20230105222344,{09CF8C8F-6A4C-46F8-88B2-CB1D7BAB3A4E},,,,,-123.251116,49.260916
VPOI10059,VAD11031,Family Practice Teaching Unit/Clinic,,,,,campus_services,,http://clinic.familymed.ubc.ca/,Phone: (604) 822-5431; Email: family.clinic@familymed.ubc.ca; Fax: (604) 822-4089,M-F: 9 am - 5 pm; Sat-Sun: Closed,Y,,Current,Civic,,,,TOML,20221228215931,{A122A0A9-0F78-48D6-ADDF-CE2B4138962A},,,,,-123.246341,49.265908
VPOI10238,VAD11031,Continuing Studies,,,,,faculty/school,,https://cstudies.ubc.ca/,Phone: (604) 822-1444; Fax: (604) 822-0388,M-F: 8:30 am to 4:30 pm; Sat-Sun: Closed,Y,,Current,Civic,,,,TOML,20221228215931,{9B911B6B-F484-4994-8C04-46313614279D},,,,,-123.246246,49.265919
VPOI10370,VAD11031,UBC Health Clinic,,,,,medical,,https://clinic.familymed.ubc.ca/,Phone: (604) 822-5431; Fax: (604) 822-4089,M-F: 9 am - 5 pm; Sat-Sun: Closed,Y,,Current,Civic,,GISSTUD1,20180117190435,TOML,20221228215931,{42E94463-B54F-491A-AEBE-F3FDA673BB7C},,,,,-123.245843,49.266003
VPOI10077,VAD11095,Magda's Night Market,,,,,minimart,,https://food.ubc.ca/places/magdas-late-nite-market/,Phone: (604) 822-4221,Daily: 3:30 pm - 11:30 pm,N,,Current,Food,,,,TOML,20230109234906,{4E99CD59-93BB-49F9-A0C1-2D46D4C32D5B},,,,,-123.252812,49.25788
VPOI10048,VAD10197,Mozart School of Music,,,,,commercial_services,,http://www.msmvan.com/,Phone: (604) 345-9680,,Y,,Current,Services,,,,TOML,20221219203141,{0B22B875-45EF-4332-AC4E-2EF9F4BF3F0F},,,,,-123.235255,49.253713
VPOI10251,VAD11095,Feast,,,,,restaurant,,https://food.ubc.ca/places/feast/,Phone: (604) 822-6828,,N,,Current,Services,,,,TOML,20230109234906,{4FD92E04-74DF-426F-BFF9-BF46912ACEF3},,,,,-123.252812,49.25788
VPOI10273,VAD10398,"Journalism, School of",,,,,faculty/school,,https://journalism.ubc.ca/,Phone: (604) 822-6688,M-F: 8 am - 4 pm; Sat-Sun: Closed,N,,Current,Civic,,,,TOML,20221219203141,{7979FAC0-8C03-4A3F-ADED-94340096B172},,,,,-123.257773,49.267812
VPOI10274,VAD10282,"Community and Regional Planning, School of (SCARP)",,,,,faculty/school,,https://scarp.ubc.ca/,Phone: (604) 822-3276,M-F: 8:30 am to 4:30 pm; Sat-Sun: Closed,N,,Current,Civic,,,,TOML,20221219203141,{49CA1B0C-C583-4F1C-B492-DACD1B222F4F},,,,,-123.256062,49.267561
VPOI10276,VAD10180,"Music, School of",,,,,faculty/school,,https://music.ubc.ca/,Phone: (604) 822-3113; Fax: (604) 822-4884,,N,,Current,Civic,,,,TOML,20221219203141,{8AF4037E-AD63-4B7D-9125-DE465B908CA7},,,,,-123.256712,49.267447
VPOI10277,VAD10022,Vancouver School of Economics,,,,,faculty/school,,http://economics.ubc.ca/,Phone: (604) 822-2876; Fax:(604) 822-5915,M-F: 7:30 am - 9 pm; Sat-Sun: Closed,N,,Current,Civic,,,,TOML,20221219203141,{2F18B92B-C696-4CCD-94D7-6933D311C77A},,,,,-123.250374,49.270995
VPOI10240,VAD10601,Thunderbird Residence Front Desk,Front Desk,,,Front Desk,housing_student,,http://vancouver.housing.ubc.ca/residences/thunderbird/,Phone: (604) 822-1233; Email: yearround@housing.ubc.ca,,N,,Current,Anchor,,,,TOML,20221219203054,{F939A8C1-1478-47B0-B30F-234A66978EBE},,,,,-123.249193,49.259328
VPOI10241,VAD10612,Fairiew Crescent Residence Front Desk,,,,Front Desk,housing_student,,http://vancouver.housing.ubc.ca/residences/fairview-crescent/,Phone: (604) 822-3172; Email: information@housing.ubc.ca,,N,,Current,Anchor,,,,TOML,20221219203054,{4A532C3E-30EB-48CE-84A0-7243202CE043},,,,,-123.239711,49.263411
VPOI10160,VAD10439,St. John's College Front Desk,Front Desk,,,,housing_student,,http://stjohns.ubc.ca/,Phone: (604) 822-8788; Email: sjc.reception@ubc.ca; Fax: (604) 822-8855,,N,,Current,Anchor,,,,TOML,20221219203054,{92334AA9-4DF0-4A59-A6D1-7285D75499D8},,,,,-123.256231,49.262753
